Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001000,Male,No,0,Graduate,No,6155,0.0,,360.0,1.0,Urban,Y
LP001001,Male,Yes,1,Graduate,No,4442,1508.0,136.0,360.0,1.0,Rural,N
LP001002,Male,Yes,0,Graduate,Yes,2998,0.0,60.0,360.0,1.0,Urban,Y
LP001003,Male,Yes,0,Not Graduate,No,2138,2358.0,124.0,360.0,1.0,Urban,Y
LP001004,Male,No,0,Graduate,No,6124,0.0,137.0,360.0,1.0,Urban,Y
LP001005,Male,Yes,2,Graduate,Yes,5534,4196.0,273.0,360.0,1.0,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,1865,1516.0,103.0,360.0,1.0,Urban,Y
LP001007,Male,Yes,3+,Graduate,No,2572,2504.0,156.0,360.0,0.0,Semiurban,N
LP001008,Male,Yes,2,Graduate,No,4180,1526.0,169.0,360.0,1.0,Urban,Y
LP001009,Male,Yes,1,Graduate,No,13103,10968.0,344.0,360.0,1.0,Semiurban,N
LP001010,Male,Yes,2,Graduate,No,2855,700.0,65.0,360.0,1.0,Urban,Y
LP001011,Male,Yes,2,Graduate,,2737,1840.0,113.0,360.0,1.0,Urban,Y
LP001012,Male,Yes,2,Graduate,No,2944,8106.0,210.0,360.0,1.0,Urban,Y
LP001013,Male,No,0,Graduate,No,1802,2840.0,115.0,360.0,1.0,Rural,N
LP001014,Male,Yes,2,Graduate,No,1376,1086.0,18.0,120.0,1.0,Urban,Y
LP001015,Male,No,0,Graduate,No,5182,0.0,116.0,360.0,1.0,Urban,Y
LP001016,Male,No,1,Not Graduate,No,3602,0.0,108.0,240.0,,Urban,Y
LP001017,Female,No,0,Graduate,No,3947,0.0,75.0,360.0,0.0,Urban,N
LP001018,Male,Yes,0,Not Graduate,No,4896,0.0,140.0,360.0,1.0,Rural,N
LP001019,Male,Yes,0,Graduate,,3042,3500.0,110.0,,1.0,Urban,Y
LP001020,Male,Yes,0,Not Graduate,No,7946,0.0,101.0,360.0,0.0,Urban,N
LP001021,Male,Yes,1,Graduate,No,5635,5625.0,322.0,360.0,1.0,Urban,Y
LP001022,Male,Yes,0,Not Graduate,No,2462,1911.0,120.0,360.0,0.0,Semiurban,N
LP001023,,Yes,2,Not Graduate,No,2985,1917.0,115.0,360.0,0.0,Rural,N
LP001024,Male,Yes,1,Graduate,,3960,2925.0,156.0,360.0,,Semiurban,N
LP001025,Male,Yes,0,Graduate,Yes,9558,0.0,182.0,360.0,1.0,Semiurban,Y
LP001026,Male,Yes,0,Graduate,No,2974,2253.0,125.0,360.0,1.0,Semiurban,Y
LP001027,Male,Yes,2,Not Graduate,No,4301,1040.0,113.0,360.0,1.0,Urban,Y
LP001028,Male,No,0,Not Graduate,No,1287,0.0,44.0,360.0,1.0,Urban,N
LP001029,Female,No,2,Graduate,,4041,2083.0,123.0,360.0,1.0,Semiurban,Y
LP001030,Male,Yes,1,Graduate,,4024,3369.0,201.0,360.0,,Urban,N
LP001031,Male,No,0,Graduate,No,3265,0.0,78.0,360.0,1.0,Urban,N
LP001032,Male,No,1,Graduate,Yes,4864,0.0,106.0,360.0,1.0,Rural,N
LP001033,Male,Yes,0,Graduate,No,3113,1667.0,104.0,360.0,1.0,Semiurban,Y
LP001034,Male,No,3+,Graduate,No,12925,3000.0,311.0,360.0,1.0,Rural,N
